,St. No,Depth,S.D,W.T,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
1,2,2.65,1.75,30.0,12.5,7.71,6.4,8.4,16.4,3.7440000000000007,0.0908,0.5858,0.09880000000000001,9.888000000000002,24.225,1.0625999999999998
2,3,2.5,1.5,29.9,12.1,5.11,6.4,8.49,40.0,2.912,0.1362,0.5005999999999999,0.08892,12.048,17.425,2.3667
3,4,2.5,2.0,29.5,11.0,2.63,7.4,8.77,18.4,3.7440000000000007,0.15889999999999999,1.2738999999999998,0.06916,12.0,18.0625,1.1109
4,5,2.0,2.0,28.9,11.4,1.01,5.3,8.49,16.4,3.7440000000000007,0.1816,0.9327999999999999,0.09880000000000001,9.6,17.85,0.19319999999999998
5,6,3.15,1.5,29.4,11.8,5.13,6.7,8.54,10.8,4.035200000000001,0.1135,1.0805,0.11856000000000001,8.592,18.4875,2.2701
6,7,3.25,1.75,29.4,11.4,2.46,7.4,8.58,8.4,4.389,0.1533,0.7112999999999999,0.06916,12.3403,34.8,0.3984
7,8,0.65,0.65,29.7,11.4,0.92,7.73,8.62,10.4,3.7883999999999998,0.0219,0.6068999999999999,0.029640000000000003,12.7673,40.6725,0.44820000000000004
8,9,1.0,1.0,30.0,11.0,0.84,9.18,9.1,3.6,4.2504,0.0657,0.3666,0.059280000000000006,13.2797,47.85,0.3984
9,10,2.5,1.0,30.1,13.2,2.04,7.2,8.51,7.6,4.296600000000001,0.0438,0.19200000000000006,0.07904000000000001,16.6103,56.7675,0.5976
10,11,0.85,0.85,29.5,8.9,0.58,7.09,8.86,11.2,3.9732,0.0657,0.17010000000000008,0.059280000000000006,24.7233,52.2,0.34859999999999997
11,12,2.5,1.5,31.0,11.1,3.91,8.0,8.51,3.2,4.0656,0.0657,0.20939999999999998,0.059280000000000006,17.0373,44.1525,0.34859999999999997
12,13,2.25,1.75,29.6,12.1,2.88,7.25,8.52,1.2,3.8346,0.0876,0.5411999999999999,0.06916,16.5249,44.5875,0.29879999999999995
13,14,2.0,2.0,29.6,8.9,2.24,6.44,8.55,9.6,4.4352,0.0657,0.3666,0.049400000000000006,21.7343,48.9375,0.3984
14,15,2.75,1.75,28.7,10.88,7.76,6.32,8.62,17.6,2.121600000000001,0.20609999999999998,0.3178000000000001,0.06916,28.0296,30.536999999999995,0.91916
15,16,2.25,0.75,30.5,6.01,8.4,7.09,8.5,12.0,1.0608000000000004,0.22899999999999998,0.41579999999999995,0.09880000000000001,23.816,40.904500000000006,0.79382
16,17,1.75,0.75,30.1,6.01,14.7,8.05,8.41,24.0,1.1934000000000005,0.22899999999999998,0.2546,0.09880000000000001,32.06,26.201500000000006,1.08628
17,18,1.0,0.5,28.7,3.2,5.46,10.5,9.33,8.4,1.5541999999999996,0.2748,0.5379,0.25896,51.2,38.0434,0.714
18,19,2.25,2.25,29.0,6.14,2.55,8.05,9.44,8.0,0.8398000000000002,0.16029999999999997,0.2829999999999999,0.08892,32.4722,24.128000000000004,0.96094
19,20,2.35,0.75,29.0,7.68,8.3,6.3,8.45,14.0,1.9006000000000005,0.16029999999999997,0.32330000000000003,0.059280000000000006,32.9302,36.380500000000005,2.089
20,21,1.85,0.35,29.8,7.16,28.0,6.32,8.4,22.0,0.22100000000000022,0.22899999999999998,0.2546,0.07904000000000001,32.06,40.5275,2.00544
21,22,1.5,0.0,27.8,1.28,102.0,6.7,7.8,64.8,1.7586999999999997,0.6869999999999999,0.20310000000000006,0.8067599999999999,53.0,40.5557,3.6176
22,23,1.75,1.75,28.0,5.76,2.46,7.9,9.65,3.6,1.326,0.0456,0.41651000000000005,0.019760000000000003,28.072439999999997,33.1167,0.6825
23,24,1.5,0.35,28.3,8.57,18.7,6.3,6.76,39.6,1.9006000000000005,0.0912,0.3709100000000001,0.019760000000000003,37.24644,29.000500000000002,1.911
24,25,1.75,0.25,28.2,4.86,25.4,6.7,8.19,28.4,2.3868,0.0912,0.16086000000000006,0.13832000000000003,36.05382,25.632699999999996,0.6825
25,26,1.75,0.25,28.5,2.81,24.7,6.7,8.07,41.2,2.5636,0.114,0.18007000000000012,0.27664,32.659440000000004,22.452,0.5914999999999999
26,27,1.25,0.1,27.8,0.25,277.0,6.3,7.8,81.2,0.5669399999999998,0.253,1.4109999999999996,0.21736,32.61357,25.159599999999998,1.2684
27,28,1.25,0.75,28.0,2.56,8.45,7.2,8.88,8.0,2.8288,0.1596,0.13447000000000012,0.25688000000000005,33.897929999999995,34.8006,0.6825
28,29,1.5,0.35,28.3,1.28,26.0,6.3,8.03,18.8,3.0940000000000003,0.114,0.55816,0.26676000000000005,34.769459999999995,26.006899999999998,1.5015
29,30,1.25,0.25,28.0,1.0,62.7,6.3,7.54,60.4,3.65934,0.276,1.4295999999999998,0.18772000000000005,34.888000000000005,35.101699999999994,1.4949
30,31,1.0,0.0,26.9,0.89,200.0,5.5,7.7,156.8,3.195479999999999,0.253,1.0782000000000003,0.25688000000000005,39.886,35.101699999999994,1.7214000000000003
31,32,1.0,0.2,27.5,0.38,90.0,5.5,8.15,87.6,3.3500999999999994,0.299,0.9490000000000003,0.18772000000000005,39.788000000000004,28.000199999999996,1.6761000000000001
32,33,3.5,0.45,28.1,0.38,23.6,4.7,7.03,10.8,2.62854,0.253,0.9118,0.1976,38.612,36.522,1.0872
33,34,0.5,0.2,26.6,5.1,44.3,6.0,8.9,45.6,0.4089999999999998,0.3664,0.2528000000000001,0.22908,33.0,50.9638,2.6656
34,35,1.25,0.25,26.5,4.48,47.5,6.75,8.38,53.2,3.5582999999999996,0.3893,0.3460000000000002,0.17928000000000002,33.2,42.888549999999995,3.1891999999999996
35,36,3.25,0.5,27.3,5.7,42.5,6.1,8.43,42.8,1.3905999999999994,0.3664,0.36890000000000017,0.24900000000000003,35.0,42.350199999999994,5.5691999999999995
0,1,0.5,0.5,28.4,16.1,1.48,7.4,9.01,11.0,8.0597,0.11309999999999999,0.39966,0.07112,20.57904,43.27610000000001,0.44000999999999996
1,2,2.25,1.0,26.6,15.9,2.8,6.58,8.45,10.8,9.352699999999999,0.02262,0.35693,0.07112,20.221919999999997,24.201800000000002,0.7333500000000001
2,3,2.75,1.0,26.6,16.1,3.03,8.22,8.55,12.8,4.9996,0.02262,0.44238999999999995,0.08128,19.641599999999997,20.920199999999998,0.6844600000000001
3,4,2.2,2.2,26.6,16.5,1.32,8.3,8.72,5.9,0.12929999999999953,0.09048,0.39966,0.07112,19.775519999999997,20.920199999999998,0.7333500000000001
4,5,1.8,1.8,26.4,15.9,1.04,8.7,8.58,7.72,0.25859999999999966,0.09048,0.44238999999999995,0.07112,19.373759999999997,30.970100000000002,0.58668
5,6,2.75,1.5,26.5,15.48,3.94,8.5,8.6,16.13,1.2499,0.06786,0.18601000000000006,0.08128,20.3112,30.765,0.4889
6,7,2.35,1.0,28.2,14.5,4.4,6.28,8.6,14.27,7.8956800000000005,0.13758,0.2799000000000001,0.03035999999999999,17.880879999999998,23.036399999999997,0.2856599999999999
7,8,0.5,0.5,27.9,14.7,1.39,6.4,9.06,8.94,7.2416,0.13758,0.24060000000000004,0.03035999999999999,14.50288,26.449199999999998,0.23805000000000004
8,9,0.5,0.5,27.3,15.2,2.21,6.4,8.9,9.14,1.96224,0.16050999999999999,0.2799000000000001,0.050599999999999985,18.51144,14.504400000000002,0.42849000000000004
9,10,2.75,0.75,28.0,12.9,5.1,5.3,8.48,14.46,7.38176,0.02293,0.24060000000000004,0.040479999999999995,19.27712,16.6374,0.42849000000000004
10,11,0.5,0.5,26.5,12.9,2.45,6.45,8.69,8.42,3.971200000000001,0.04586,0.3192,0.03035999999999999,22.565039999999996,25.1694,0.52371
11,12,2.2,1.0,26.4,13.5,7.46,7.15,8.06,15.0,0.7757999999999995,0.02262,0.27147,0.07112,20.62368,30.970100000000002,0.3911199999999999
12,13,2.25,0.25,26.2,13.0,10.0,4.99,8.52,22.0,0.09344000000000008,0.06879,0.16199999999999998,0.060719999999999996,14.32272,21.33,0.52371
13,14,1.5,1.25,26.4,12.7,2.43,7.2,8.6,11.85,0.8876799999999998,0.06879,0.16199999999999998,0.050599999999999985,14.05248,21.1167,0.4760999999999999
14,15,2.25,1.75,26.1,12.3,3.09,7.64,8.66,9.34,0.6729799999999999,0.06942000000000001,0.12881999999999993,0.07936000000000001,9.101880000000001,24.3711,0.5011999999999999
15,16,1.8,0.75,25.7,12.7,9.51,8.71,8.73,14.58,1.0575400000000004,0.06942000000000001,0.12869999999999993,0.07936000000000001,10.32804,23.537899999999997,0.5011999999999999
16,17,1.25,0.5,27.5,6.7,8.63,8.22,8.64,14.9,0.14421000000000012,0.0,0.16899999999999998,0.05952,16.506000000000004,29.370299999999997,0.60144
17,18,0.9,0.5,27.6,5.36,4.9,15.95,9.54,9.46,2.9674500000000004,0.13632,0.55346,0.0396,33.852059999999994,33.608399999999996,0.54582
18,19,2.0,1.5,26.5,9.7,1.13,9.87,9.52,5.02,0.76912,0.09256,0.28989999999999994,0.02976000000000001,20.42028,41.66,0.60144
19,20,2.25,0.5,26.8,11.12,11.2,9.45,8.44,17.71,0.38456000000000035,0.09256,0.20929999999999999,0.05952,19.52424,19.371899999999997,0.5011999999999999
20,21,1.35,0.75,27.3,6.03,7.48,9.45,9.39,9.97,3.1726200000000007,0.06942000000000001,0.6929,0.06944000000000002,15.327000000000002,18.747,0.35083999999999993
21,22,1.0,0.1,27.6,0.67,71.0,8.06,8.28,57.5,1.8699,0.18176,1.4349,0.0693,36.60426,41.81045,1.04202
22,23,1.5,1.0,25.6,5.3,,10.9,9.85,8.14,2.39288,0.1152,0.7691100000000001,0.13832000000000003,0.9174000000000001,39.501,0.72285
23,24,1.5,0.75,27.1,0.8,9.13,8.28,8.84,11.4,3.03383,0.1152,0.75986,0.11856,14.6784,36.366,0.81923
24,25,1.25,0.75,27.6,8.0,10.4,10.2,8.5,19.51,3.7175100000000008,0.06912,0.8789,0.2964,28.4394,35.53,2.6504499999999998
25,26,1.25,0.25,28.0,1.34,131.0,9.2,8.01,107.51,5.5549,0.09215999999999999,0.6804999999999999,0.1976,42.2004,46.397999999999996,1.20475
26,27,1.25,0.1,26.4,0.8,116.0,7.57,8.1,56.16,5.56,0.7999200000000001,1.5128999999999997,0.20705999999999997,25.60256,63.600699999999996,0.6450600000000001
27,28,1.0,0.5,27.4,2.68,5.11,10.2,9.6,2.16,5.5549,0.13823999999999997,0.75986,0.17784000000000003,37.10883,42.009,1.3011299999999997
28,29,1.0,0.35,27.9,0.8,5.15,8.8,8.28,34.56,4.273,0.046079999999999996,0.7201799999999999,0.15808000000000003,43.30128,45.98,1.3975099999999998
29,30,0.75,0.25,25.9,0.13,81.0,8.22,7.88,31.76,3.56,0.51106,1.1064,0.2465,25.696,42.33295,0.7443
30,31,0.85,0.1,26.6,0.4,65.6,8.46,8.2,24.0,1.76,0.35552,1.22835,0.23664,26.02304,64.4109,0.7443
31,32,0.7,0.0,26.6,0.4,150.0,7.73,8.2,113.8,3.4,0.35552,1.14705,0.20705999999999997,29.24672,48.40944999999999,0.8435400000000001
32,33,3.5,0.25,25.5,0.06,23.4,6.44,7.62,11.12,2.12,0.46662,1.0251,0.20705999999999997,29.386879999999998,46.38395000000001,0.6946800000000001
33,34,2.0,0.25,25.1,8.04,20.9,8.06,8.66,31.96,7.7235,0.13332,0.8931,0.0297,34.769459999999995,39.00975,0.59544
34,35,2.0,0.5,25.6,10.72,18.0,7.73,8.64,17.2,6.5853,0.13332,2.2089000000000003,0.0297,32.01726,47.41185000000001,0.59544
35,36,2.0,1.0,25.7,20.1,7.88,9.02,8.4,19.04,6.4227,0.13332,0.1578000000000001,0.0396,10.917060000000001,35.808949999999996,0.6946799999999999
0,1,0.5,0.5,27.5,15.36,3.5,11.28,9.18,18.0,3.1878000000000006,0.09048,0.9244500000000001,0.16864,11.78496,22.890240000000002,0.40713000000000005
1,2,2.35,0.75,25.5,15.48,8.89,9.34,8.65,24.0,3.2802000000000007,0.06786,0.9470700000000001,0.16864,15.891840000000002,24.79776,0.30783
2,3,2.65,1.0,25.1,15.87,8.34,7.97,8.44,17.95,7.854000000000001,0.09048,1.1499900000000003,0.17856000000000002,18.480960000000003,24.95672,0.27803999999999995
3,4,2.25,2.0,25.9,16.64,1.59,7.97,8.76,9.7,7.900200000000001,0.06786,1.32297,0.1488,15.936480000000001,23.68504,0.31776
4,5,1.75,1.75,25.8,14.97,0.81,9.59,8.67,6.0,2.2176000000000005,0.09048,1.2251700000000003,0.1984,15.936480000000001,24.79776,0.4170600000000001
5,6,2.5,0.75,25.4,14.59,5.09,8.06,8.55,16.4,3.1878000000000006,0.15834,1.4580300000000004,0.36704,16.873920000000002,25.27464,0.5163599999999999
6,7,2.75,1.5,25.1,13.82,4.98,7.25,8.46,14.25,2.4024,0.09048,1.2251700000000003,0.16864,17.27568,25.751520000000003,0.5759399999999999
7,8,0.25,0.25,25.8,13.44,0.15,9.59,8.8,9.12,2.9106,0.1131,1.1343,0.14789999999999998,16.092950000000002,24.806,0.66912
8,9,0.25,0.25,25.6,14.08,1.77,7.25,8.64,8.5,2.9568000000000003,0.15834,1.31586,0.13804000000000002,16.8384,26.544,0.87576
9,10,2.75,1.25,25.3,13.44,4.24,7.25,8.44,15.6,2.9568000000000003,0.20358000000000004,1.4596199999999997,0.14789999999999998,16.53145,27.65,0.8855999999999999
10,11,0.5,0.5,24.4,13.31,0.47,8.86,8.47,8.5,1.5708,0.18096,1.29324,0.15775999999999998,16.1368,27.966000000000005,1.06272
11,12,1.75,0.75,25.0,12.16,10.02,7.7,8.32,24.0,3.9845999999999995,0.24991999999999998,0.01768000000000014,0.1188,26.063999999999997,22.176000000000005,0.4030300000000001
12,13,2.65,1.0,24.8,12.92,5.5,7.97,8.34,17.2,1.7094,0.15834,1.42926,0.17748,17.364600000000003,24.648,2.15496
13,14,1.5,1.5,26.5,12.41,0.63,11.28,8.71,6.0,6.412,0.22719999999999999,0.21880000000000013,0.1188,16.464000000000002,33.066,0.4030300000000001
14,15,2.25,2.0,25.3,12.0,5.42,9.34,8.56,8.75,3.5266,0.20447999999999997,1.22272,0.1386,20.88,32.274,0.31456
15,16,2.0,1.25,26.3,11.77,10.02,7.25,8.55,5.55,2.8396,0.22719999999999999,0.35260000000000014,0.1188,18.048000000000002,31.086,0.32439
16,17,1.25,1.0,26.9,8.58,5.85,8.06,8.57,9.54,2.1984,0.15904,0.37616000000000005,0.1485,21.888,32.67,0.4226900000000001
17,18,1.73,0.12,27.3,2.81,28.6,9.48,8.8,31.0,4.455,0.08692,1.17292,0.08159999999999999,36.348,15.990480000000002,0.41839000000000004
18,19,1.75,1.75,25.4,8.83,1.18,8.84,9.43,6.0,2.6563999999999997,0.09088,0.22132000000000013,0.1089,20.976,32.67,0.4128600000000001
19,20,2.0,1.0,26.1,11.0,6.07,7.25,8.24,12.5,2.29,0.09088,0.3551200000000001,0.1188,25.68,22.77,0.48167000000000015
20,21,1.5,1.25,26.5,8.32,4.2,8.06,8.83,7.0,2.29,0.06816,0.28864,0.1188,23.04,24.75,0.37354000000000004
21,22,1.25,0.0,27.3,1.53,88.3,7.9,8.14,81.0,5.94,0.21730000000000002,1.2787600000000001,0.19380000000000003,36.763999999999996,14.21376,2.3838500000000002
22,23,1.5,1.0,25.0,4.22,1.07,10.96,9.22,1.6,3.555,0.02283,0.25941,0.019920000000000004,8.63028,19.729200000000002,0.36859999999999987
23,24,1.5,0.75,28.7,9.08,2.11,10.96,9.23,10.0,5.355,0.04566,0.15593999999999988,0.10956000000000002,18.958319999999997,37.5336,0.3782999999999999
24,25,1.25,0.2,28.6,2.04,9.21,9.34,8.97,9.6,4.05,0.04566,0.31722000000000006,0.07967999999999999,29.89944,22.7768,0.3782999999999999
25,26,1.25,0.15,28.9,0.64,92.5,7.97,8.13,77.0,4.41,0.06849,0.33471000000000006,0.09960000000000001,37.82232,37.0524,0.4462
26,27,0.75,0.0,28.1,0.76,77.9,7.58,8.15,29.3,5.954,0.31248,0.62132,0.13776,20.488500000000002,16.2558,0.2475
27,28,1.0,0.75,26.9,3.2,4.53,7.2,9.4,7.5,4.05,0.02283,0.1787699999999999,0.06972000000000002,33.10632,38.496,0.4462
28,29,1.0,0.3,26.9,1.02,79.1,6.36,8.23,79.0,3.6,0.04566,0.15593999999999988,0.07967999999999999,33.38927999999999,19.568800000000003,0.40739999999999993
29,30,1.0,0.0,27.1,0.44,123.0,7.66,7.9,102.0,5.4959999999999996,0.29016,0.7248400000000002,0.12792,21.9957,16.9126,0.2178
30,31,0.75,0.0,25.5,1.08,47.8,7.9,8.04,41.95,5.4959999999999996,0.22319999999999998,0.7512000000000001,0.14759999999999998,17.0031,24.137399999999996,0.2475
31,32,0.75,0.0,29.5,0.57,141.0,6.32,7.94,117.0,4.4883999999999995,0.22319999999999998,0.5076000000000002,0.16728,20.535600000000002,22.987999999999996,0.26730000000000004
32,33,3.0,0.2,26.8,0.38,21.4,6.32,7.39,29.0,2.6106,0.7812000000000001,,0.14759999999999998,45.5457,49.26,0.26730000000000004
33,34,1.25,0.15,26.0,7.42,46.7,7.11,8.29,23.6,5.94,0.08692,1.48788,0.16319999999999998,30.991999999999997,19.05936,0.6519100000000001
34,35,1.35,0.8,26.2,12.8,19.9,6.63,8.31,25.25,6.088500000000001,0.06519,0.6041000000000001,0.1326,31.46,13.56768,0.15568
35,36,2.0,0.5,26.5,24.32,17.8,6.32,8.01,31.6,6.484500000000001,0.06519,0.6041000000000001,0.0612,6.5,7.591440000000003,0.22379000000000002
0,1,0.5,0.25,27.7,19.2,2.2,13.05,8.2,26.0,8.680950000000001,0.02282999999999998,0.75265,0.09258,39.249849999999995,47.8296,0.38880000000000003
1,2,2.25,1.0,25.5,16.64,7.22,6.75,8.31,29.0,2.9542500000000005,0.06848999999999998,0.3944999999999998,0.18516,18.47562,22.776,0.38880000000000003
2,3,2.5,0.75,25.4,16.64,8.93,6.96,8.43,29.6,3.1815000000000007,0.11414999999999997,0.3444999999999998,0.23145,16.09027,32.0616,0.5832
3,4,2.25,2.25,24.6,17.02,1.62,6.38,8.39,30.0,12.271500000000001,0.11414999999999997,0.7990000000000003,0.23145,24.287199999999995,43.4496,0.3402
4,5,1.5,1.5,25.2,15.36,1.18,6.09,8.62,23.2,4.0905000000000005,0.15981,0.30449999999999977,0.13887,29.665079999999996,42.047999999999995,0.43740000000000007
5,6,2.5,1.0,24.6,15.61,11.8,7.25,8.52,12.0,3.6359999999999997,0.15981,0.30449999999999977,0.13887,32.9612,33.288,1.2636
6,7,2.75,1.0,24.0,15.61,8.3,5.8,8.47,42.0,1.9885000000000004,0.08968000000000001,0.5743999999999999,0.2475,21.9436,44.8272,0.34159999999999996
7,8,0.25,0.25,25.0,15.36,5.38,8.41,9.06,16.4,0.5334999999999998,0.08968000000000001,0.738,0.099,16.66,46.2528,0.43920000000000003
8,9,0.25,0.25,25.2,14.08,2.69,8.41,8.99,47.6,0.8245,0.06726,0.8398000000000001,0.099,13.185199999999998,46.2528,0.5367999999999999
9,10,2.5,1.0,24.2,14.08,10.6,7.42,8.51,58.0,3.685999999999999,0.1121,0.75058,0.3959999999999999,12.851999999999999,44.8272,0.5856
10,11,0.5,0.5,24.6,13.82,1.56,8.12,9.44,20.0,7.3235,0.08968000000000001,0.6576399999999999,0.34650000000000003,13.470799999999999,39.6,0.7807999999999999
11,12,2.0,0.75,23.6,16.0,12.6,6.81,8.53,2.4,2.727,0.13698,0.46085,0.09258,16.046899999999997,15.417599999999998,0.3402
12,13,2.0,0.5,22.7,12.8,11.2,7.25,8.27,56.4,3.1525,0.17936000000000002,0.6070999999999999,0.3959999999999999,13.899199999999999,38.491200000000006,0.9271999999999999
13,14,1.25,0.5,22.6,16.0,4.89,7.25,9.0,38.0,0.6789999999999999,0.17936000000000002,0.6070999999999999,0.3959999999999999,13.899199999999999,46.0944,1.1224
14,15,1.75,0.25,23.0,12.92,54.3,6.67,8.75,81.2,5.7165,0.06726,0.09119999999999986,0.0476,12.9525,52.32240000000001,0.1452
15,16,1.75,0.5,24.1,12.16,22.7,7.25,8.39,33.2,5.047000000000001,0.20178,0.4048,0.0476,14.4126,29.412000000000003,0.19359999999999997
16,17,1.25,0.5,24.1,12.41,31.0,7.25,8.55,46.0,4.944000000000001,0.47081999999999996,0.0601799999999999,0.0476,14.5068,35.4492,0.1452
17,18,2.0,0.25,24.8,18.5,43.3,7.56,8.37,29.4,0.7065000000000007,0.0681,1.0312000000000001,0.19044,10.656000000000002,32.209199999999996,0.6252999999999999
18,19,1.75,1.75,22.6,9.34,54.3,8.26,9.62,55.2,0.5665000000000004,0.1121,0.4948,0.0952,15.825600000000001,30.96,0.19359999999999997
19,20,2.0,0.1,22.9,12.41,40.5,7.15,8.53,68.0,0.9270000000000002,0.06726,0.015600000000000058,0.1904,10.644599999999999,39.474000000000004,0.242
20,21,1.25,1.25,23.2,7.68,2.18,8.26,9.73,21.6,0.6180000000000005,0.20178,0.21579999999999983,0.3808,11.1156,69.66,0.3388
21,22,1.0,0.0,24.3,4.7,,7.4,8.17,,1.6956000000000009,0.0454,0.9807999999999999,0.14283,44.832,33.6096,0.7215
22,23,1.25,1.25,22.5,5.5,2.46,6.67,9.26,8.0,1.8410000000000009,0.30688000000000004,0.23759999999999998,0.0693,9.6084,72.18239999999999,2.9195999999999995
23,24,1.0,0.75,24.5,9.6,7.85,9.57,9.46,18.4,1.8410000000000009,0.13152000000000003,0.5612,0.029699999999999994,24.5862,8.76,0.19463999999999998
24,25,1.0,0.75,25.3,1.92,10.9,9.86,9.81,7.6,1.315,0.24112,0.1439999999999998,0.029699999999999994,12.622799999999998,10.511999999999999,0.3406199999999999
25,26,1.0,0.3,24.6,2.3,37.4,8.26,8.36,39.6,1.3676000000000006,0.08768000000000001,0.6880000000000002,0.00990000000000001,71.36,8.9352,0.19463999999999998
26,27,1.0,0.0,24.3,1.28,94.1,8.37,8.19,77.6,3.473580000000001,0.18096,1.1576,0.1476,36.96,138.77963999999997,0.3304
27,28,1.0,0.5,23.1,3.96,15.3,8.26,8.89,19.2,0.0,0.17536000000000002,0.4059999999999999,0.029699999999999994,28.2129,9.1104,0.43794
28,29,1.0,0.1,24.2,1.15,97.9,7.25,8.33,79.2,0.36820000000000036,0.19728,0.2707999999999999,0.0693,83.8,24.528000000000002,0.43794
29,30,1.0,0.0,24.5,1.02,129.0,7.56,8.19,148.0,4.47355,0.8821800000000001,0.6336,0.1476,48.96,66.93912,0.472
30,31,0.75,0.5,23.2,1.92,23.11,7.08,8.65,19.6,3.94725,0.22619999999999998,2.2792,0.24600000000000002,42.24,93.54671999999998,0.8023999999999999
31,32,0.75,0.1,24.5,1.92,104.0,8.05,8.36,129.0,3.94725,0.65598,0.6875999999999999,0.1476,43.44,103.06943999999999,0.708
32,33,3.0,0.5,24.1,1.92,22.7,7.08,7.5,10.0,3.420950000000001,0.22619999999999998,1.188,0.1476,60.96,48.73391999999999,0.23600000000000002
33,34,1.75,0.5,23.3,22.4,58.4,6.44,8.15,36.4,1.789800000000001,0.1135,0.6643999999999998,0.52371,11.904,35.15004,0.24050000000000002
34,35,2.0,0.2,23.1,25.4,55.4,6.27,8.17,35.2,3.249900000000001,0.1135,0.7347999999999999,0.04761,7.92,30.948840000000004,0.4809999999999999
35,36,3.5,0.5,23.7,27.1,22.3,6.44,8.17,70.8,0.0,0.0227,0.8247999999999999,0.04761,12.912,32.209199999999996,0.4809999999999999
0,1,0.25,0.25,31.6,21.7,1.96,11.79,9.02,16.5,0.2727000000000003,0.044840000000000005,0.8373699999999998,0.09522,13.582080000000001,23.9525,0.19860000000000003
1,2,2.0,1.0,29.5,22.4,3.2,8.22,8.58,20.0,0.6817499999999994,0.06726,2.2012799999999997,0.14283,23.438519999999997,25.259,0.17874
2,3,2.35,1.25,29.6,17.1,5.89,9.89,8.54,21.6,0.09090000000000009,0.044840000000000005,0.7953599999999998,0.14283,23.061239999999998,18.813599999999997,0.17874
3,4,2.0,2.0,28.0,17.5,2.62,8.22,8.54,20.4,0.09090000000000009,0.044840000000000005,,0.14283,24.287399999999998,16.374799999999997,0.17874
4,5,1.5,1.5,28.1,17.2,1.46,8.22,8.68,11.9,3.1815000000000007,0.044840000000000005,0.58531,0.14283,11.64852,18.813599999999997,0.20852999999999997
5,6,2.35,1.25,28.1,15.4,4.79,9.3,8.69,20.4,3.9996,0.0,,0.04761,10.32804,15.678,0.12908999999999998
6,7,2.5,0.75,28.9,14.9,14.1,9.67,8.55,32.4,0.9222600000000001,0.04464,1.04211,0.01988,19.561619999999998,15.649200000000002,0.09930000000000001
7,8,0.25,0.25,28.9,16.5,3.72,12.9,9.19,16.8,1.5532799999999993,0.04464,1.08558,0.02981999999999999,28.638599999999997,20.51784,0.09930000000000001
8,9,0.5,0.5,33.0,17.0,3.76,12.9,8.99,6.0,1.9415999999999998,0.02232,0.5427899999999999,0.02981999999999999,29.172539999999998,20.69172,0.12908999999999998
9,10,2.0,0.5,28.7,14.3,26.2,6.45,8.57,38.8,1.5532799999999993,0.02232,1.2383100000000002,0.0994,29.221079999999997,22.604400000000002,0.36741
10,11,0.75,0.75,28.7,19.2,2.11,12.9,9.12,10.0,1.6018199999999994,0.02232,1.1513700000000002,0.07951999999999998,29.221079999999997,21.03948,0.4965
11,12,2.0,0.5,28.8,13.5,31.3,9.67,8.58,50.4,0.4853999999999998,0.0,0.5216400000000001,0.11927999999999998,17.134619999999998,21.735,0.39720000000000005
12,13,1.75,1.25,28.0,13.9,4.51,8.22,8.46,18.5,0.4853999999999998,0.0,,0.01988,19.415999999999997,6.955199999999999,0.39720000000000005
13,14,0.25,0.25,31.6,15.5,8.05,8.36,9.22,21.9,0.3703199999999997,0.02222,0.96946,0.17712000000000003,17.101000000000003,3.626280000000001,0.2277
14,15,1.75,1.0,28.1,15.5,8.28,6.85,8.78,18.3,0.5091899999999998,0.02222,1.0107800000000002,0.09840000000000002,15.876000000000001,22.27572,0.12869999999999998
15,16,1.65,1.0,30.2,14.1,7.39,6.85,8.83,18.0,0.5091899999999998,0.06666,0.8423799999999999,0.019680000000000017,19.404,20.721600000000002,0.12869999999999998
16,17,1.0,1.0,29.7,13.2,5.24,9.59,9.05,17.6,0.8332199999999994,0.06666,0.6771,0.019680000000000017,5.243,22.10304,0.10889999999999997
17,18,2.0,0.5,31.5,13.0,26.8,10.32,8.52,7.6,4.660699999999999,0.18175999999999995,2.2333299999999996,0.29819999999999997,32.403,19.75504,0.23655
18,19,1.5,1.5,28.1,9.24,4.01,8.22,9.58,14.8,0.5554799999999999,0.06666,0.7597400000000001,0.029520000000000025,4.9,3.971639999999999,0.10889999999999997
19,20,1.75,1.0,28.6,11.48,8.09,8.36,9.01,19.2,0.4166099999999997,0.04444,0.7819600000000001,0.07872,7.84,22.966440000000002,0.12869999999999998
20,21,1.15,1.15,29.1,10.5,2.61,6.85,9.26,8.8,0.4166099999999997,0.08887999999999997,1.4812800000000002,0.07872,8.722,22.966440000000002,0.10889999999999997
21,22,0.75,0.35,30.0,4.0,47.7,10.32,9.41,54.81,4.745439999999999,0.18175999999999995,1.25882,0.21867999999999999,31.477199999999996,22.259199999999996,0.11205000000000001
22,23,1.25,1.25,28.5,6.24,1.72,7.41,9.09,0.8,0.4504000000000004,0.16821,0.10953000000000027,0.14421,30.1768,52.524800000000006,0.34790000000000004
23,24,1.25,0.2,30.5,11.04,2.79,9.99,9.39,10.4,0.4504000000000004,0.024030000000000003,0.5777400000000003,0.19228,21.21384,37.1296,0.10934000000000002
24,25,1.25,0.5,33.0,3.12,3.28,10.96,9.05,2.4,0.5404799999999998,0.14418,0.08727000000000021,0.19228,20.9436,32.6016,0.15904
