,St. No,Depth,S.D,W.T,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
22,23,1.75,1.75,31.8,6.6,0.28,9.4,8.7,12.78,9.321399999999999,0.17696,11.043130000000001,0.010520000000000009,0.8402000000000007,111.08755000000001,1.9747200000000003
23,24,1.75,0.15,32.1,1.12,29.4,9.2,8.4,20.34,22.11714,0.3318,2.22327,0.08416,74.14765,103.86950000000002,2.06448
24,25,1.75,0.0,32.4,0.4,193.0,8.06,8.1,182.8,0.423699999999998,0.5529999999999999,9.0748,0.54704,43.90045,51.93475,2.9396400000000003
25,26,1.5,0.5,34.1,0.0,20.5,8.6,8.1,169.01,0.423699999999998,0.22119999999999998,6.74044,0.27352,47.8914,35.386050000000004,2.62548
26,27,1.0,0.0,35.2,0.37,164.0,10.7,8.0,122.0,1.5383999999999993,0.3726400000000001,0.34675999999999996,0.4088000000000001,5.479500000000001,30.24075,1.7222399999999998
27,28,1.35,0.15,31.0,0.02,49.7,11.47,8.4,17.84,5.12677,0.24332,4.08919,0.13676,60.70445,32.217150000000004,2.59182
28,29,1.35,0.0,34.6,0.2,102.0,9.07,8.4,69.2,1.2287299999999988,0.30967999999999996,3.4673800000000004,0.22092,81.4994,40.66755,2.73768
29,30,1.35,0.0,33.1,0.09,153.0,9.3,7.6,152.5,1.7691599999999994,0.43839999999999996,0.6766699999999999,0.3883600000000001,20.456800000000005,30.075499999999998,2.94768
30,31,1.25,0.1,31.7,1.19,36.1,7.2,7.9,119.03,3.845999999999999,0.43839999999999996,1.0003999999999997,0.3679200000000001,36.53,43.46075,2.6054399999999998
31,32,1.25,0.1,32.3,0.09,71.0,7.8,7.6,54.72,1.192259999999999,0.50416,0.8267300000000001,0.3883600000000001,55.34295000000001,47.592,2.5723199999999995
32,33,3.5,0.1,31.5,0.0,100.0,7.0,7.1,93.91,3.730619999999999,0.48224,0.74074,0.31682,21.37005,27.761999999999993,2.27424
33,34,0.75,0.15,30.6,3.61,22.2,6.7,8.1,15.6,6.79966,0.49983999999999995,1.8769999999999998,0.57893,32.77937,55.77600000000001,5.198200000000001
34,35,2.25,0.25,30.5,2.24,77.5,6.8,8.1,138.8,9.056689999999998,0.45439999999999997,0.8159799999999999,0.6841900000000001,,46.612800000000014,3.6719200000000005
35,36,3.5,0.75,29.6,27.18,13.1,6.7,7.82,43.08,4.59977,0.9087999999999999,0.6894200000000003,0.78945,36.87,39.84,3.318
0,1,0.5,0.5,30.2,18.0,8.39,5.8,8.45,20.8,2.025,0.363,0.6063000000000001,0.09240000000000001,12.83128,6.341400000000001,0.34944000000000003
1,2,2.25,0.5,31.5,19.5,23.0,7.3,8.38,16.2,1.98,0.0484,1.1722000000000001,0.1386,12.956259999999999,6.13815,1.1029200000000001
2,3,2.5,0.5,31.0,20.2,17.0,5.8,8.33,14.8,4.14,0.0484,0.6337,0.1386,12.123059999999999,7.68285,1.48512
3,4,2.25,0.75,31.9,18.96,5.43,7.3,8.46,26.4,5.85,0.0726,0.7531,0.046200000000000005,12.956259999999999,7.195049999999999,0.4258800000000001
4,5,1.5,0.25,31.0,19.6,1.55,6.5,8.69,21.2,3.42,0.0484,0.8491,0.2772,14.206059999999997,7.3983,0.8845199999999999
5,6,2.75,0.5,31.4,18.2,8.72,3.0,8.31,28.8,3.96,0.0484,0.885,0.36960000000000004,13.45618,6.178800000000001,0.7316400000000001
6,7,2.75,1.0,31.9,19.1,4.26,5.8,8.29,24.8,3.735,0.0968,0.7648,0.41580000000000006,13.45618,7.60155,1.56156
7,8,0.75,0.75,32.5,18.7,,1.7,8.65,,0.9660000000000003,0.0657,0.2963,0.2104,13.351800000000003,8.43111,1.342
8,9,0.5,0.5,33.0,19.0,29.02,1.6,9.01,22.4,1.26,0.0657,0.3687000000000001,0.3682,14.322000000000003,8.59403,1.87
9,10,2.5,1.5,32.8,16.9,2.94,2.2,8.24,6.8,1.302,0.0657,0.22390000000000004,0.1052,14.183400000000002,6.109500000000001,0.12099999999999995
10,11,0.2,0.2,32.0,16.9,6.1,1.5,9.06,15.2,1.344,0.0438,0.2820000000000001,0.2104,18.942000000000004,7.65724,0.22
